date,attendance,away_team,away_team_score,home_team,home_team_score,notes,overtime,playoff,start_et
1999-02-16,16285,Phoenix Suns,92,Houston Rockets,109,,,False,
1999-02-16,15812,Miami Heat,89,Indiana Pacers,78,,,False,
1999-02-16,9626,Vancouver Grizzlies,93,Los Angeles Clippers,89,"at Anaheim, CA",2OT,False,
1999-02-16,14093,Charlotte Hornets,88,Los Angeles Lakers,116,,,False,
1999-02-16,15633,Detroit Pistons,82,New Jersey Nets,97,,,False,
1999-02-16,19763,Toronto Raptors,85,New York Knicks,95,,,False,
1999-02-16,10976,Milwaukee Bucks,93,Philadelphia 76ers,92,,,False,
1999-02-16,16576,Boston Celtics,98,Sacramento Kings,101,,,False,
1999-02-16,17072,Utah Jazz,56,Seattle SuperSonics,71,,,False,
1999-02-17,17225,Miami Heat,91,Detroit Pistons,80,,,False,
1999-02-17,9734,Charlotte Hornets,87,Golden State Warriors,96,,,False,
1999-02-17,13492,Dallas Mavericks,88,Los Angeles Lakers,101,,,False,
1999-02-17,14682,Chicago Bulls,83,Milwaukee Bucks,91,,,False,
1999-02-17,18151,Houston Rockets,102,Minnesota Timberwolves,116,,,False,
1999-02-17,15147,Washington Wizards,85,Orlando Magic,96,,,False,
1999-02-17,17726,Denver Nuggets,85,Portland Trail Blazers,100,,,False,
1999-02-17,16419,Phoenix Suns,79,San Antonio Spurs,76,,,False,
1999-02-17,17072,Sacramento Kings,109,Seattle SuperSonics,106,,OT,False,
1999-02-17,13041,Boston Celtics,131,Vancouver Grizzlies,129,,3OT,False,
1999-02-18,13910,New York Knicks,74,Cleveland Cavaliers,98,,,False,
1999-02-18,15011,Philadelphia 76ers,95,Indiana Pacers,99,,,False,
1999-02-18,18469,Houston Rockets,93,New Jersey Nets,92,,OT,False,
1999-02-18,14292,Washington Wizards,95,Toronto Raptors,88,"at Toronto, Canada (SkyDome)",,False,
1999-02-18,19212,Denver Nuggets,86,Utah Jazz,97,,,False,
1999-02-19,9154,Orlando Magic,99,Atlanta Hawks,94,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",OT,False,
1999-02-19,11432,Dallas Mavericks,79,Golden State Warriors,84,,,False,
1999-02-19,17505,San Antonio Spurs,94,Los Angeles Lakers,106,,,False,
1999-02-19,17907,Vancouver Grizzlies,96,Minnesota Timberwolves,115,,,False,
1999-02-19,19681,New York Knicks,78,Philadelphia 76ers,67,,,False,
1999-02-19,19023,Detroit Pistons,101,Phoenix Suns,93,,,False,
1999-02-19,18345,Boston Celtics,86,Portland Trail Blazers,106,,,False,
1999-02-19,17317,Charlotte Hornets,95,Sacramento Kings,106,,,False,
1999-02-19,14888,Milwaukee Bucks,82,Toronto Raptors,90,"at Toronto, Canada (SkyDome)",,False,
1999-02-19,19220,Chicago Bulls,91,Washington Wizards,93,,,False,
1999-02-20,15321,New Jersey Nets,84,Cleveland Cavaliers,89,,,False,
1999-02-20,10946,Dallas Mavericks,105,Los Angeles Clippers,90,,,False,
1999-02-20,15200,Houston Rockets,71,Miami Heat,81,,,False,
1999-02-20,18173,Indiana Pacers,82,Milwaukee Bucks,80,,,False,
1999-02-20,15159,Atlanta Hawks,76,Philadelphia 76ers,69,,,False,
1999-02-20,17645,Golden State Warriors,84,Portland Trail Blazers,90,,,False,
1999-02-20,19911,Seattle SuperSonics,80,Utah Jazz,110,,,False,
1999-02-21,16531,New Jersey Nets,79,Indiana Pacers,80,,,False,
1999-02-21,16848,Sacramento Kings,90,Minnesota Timberwolves,102,,,False,
1999-02-21,19763,Chicago Bulls,63,New York Knicks,79,,,False,
1999-02-21,17248,Houston Rockets,83,Orlando Magic,109,,,False,
1999-02-21,19495,Detroit Pistons,64,San Antonio Spurs,85,,,False,
1999-02-21,17072,Los Angeles Lakers,89,Seattle SuperSonics,92,,,False,
1999-02-21,19800,Vancouver Grizzlies,87,Toronto Raptors,102,,,False,
1999-02-21,20674,Boston Celtics,75,Washington Wizards,86,,,False,
1999-02-22,8258,Chicago Bulls,77,Atlanta Hawks,68,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-02-22,13203,Philadelphia 76ers,106,Cleveland Cavaliers,97,,,False,
1999-02-22,17171,Los Angeles Lakers,113,Denver Nuggets,117,,OT,False,
1999-02-22,15374,San Antonio Spurs,89,Minnesota Timberwolves,95,,,False,
1999-02-22,16542,Sacramento Kings,96,Orlando Magic,107,,,False,
1999-02-22,18596,Dallas Mavericks,83,Phoenix Suns,101,,,False,
1999-02-22,19911,Los Angeles Clippers,89,Utah Jazz,104,,,False,
1999-02-23,22302,Milwaukee Bucks,90,Chicago Bulls,88,,,False,
1999-02-23,13387,Atlanta Hawks,85,Dallas Mavericks,89,,,False,
1999-02-23,14187,Toronto Raptors,80,Detroit Pistons,106,,,False,
1999-02-23,16285,Seattle SuperSonics,86,Houston Rockets,98,,,False,
1999-02-23,8688,Golden State Warriors,94,Los Angeles Clippers,89,,,False,
1999-02-23,19763,New Jersey Nets,74,New York Knicks,82,,,False,
1999-02-23,19193,Los Angeles Lakers,83,Vancouver Grizzlies,93,,,False,
1999-02-23,12879,Miami Heat,96,Washington Wizards,80,,,False,
1999-02-24,18235,Orlando Magic,79,Boston Celtics,111,,,False,
1999-02-24,17828,Miami Heat,91,Charlotte Hornets,83,,,False,
1999-02-24,10925,Utah Jazz,87,Denver Nuggets,97,,,False,
1999-02-24,13271,Cleveland Cavaliers,73,Detroit Pistons,89,,,False,
1999-02-24,14700,Toronto Raptors,84,Indiana Pacers,104,,,False,
1999-02-24,17298,Portland Trail Blazers,94,New Jersey Nets,85,,,False,
1999-02-24,14437,Sacramento Kings,81,Philadelphia 76ers,94,,,False,
1999-02-24,15209,Seattle SuperSonics,81,San Antonio Spurs,99,,,False,
1999-02-25,22337,Philadelphia 76ers,98,Chicago Bulls,80,,,False,
1999-02-25,14253,Indiana Pacers,81,Cleveland Cavaliers,74,,,False,
1999-02-25,13203,Denver Nuggets,81,Dallas Mavericks,90,,,False,
1999-02-25,16285,Atlanta Hawks,93,Houston Rockets,87,,,False,
1999-02-25,18456,Los Angeles Lakers,115,Los Angeles Clippers,100,"at Anaheim, CA",,False,
1999-02-25,19763,Minnesota Timberwolves,113,New York Knicks,115,,OT,False,
1999-02-25,13494,Phoenix Suns,94,Vancouver Grizzlies,86,,,False,
1999-02-25,16813,Sacramento Kings,115,Washington Wizards,105,,,False,
1999-02-26,18624,New York Knicks,80,Boston Celtics,94,,,False,
1999-02-26,18633,Portland Trail Blazers,95,Charlotte Hornets,97,,,False,
1999-02-26,10926,Milwaukee Bucks,95,Denver Nuggets,96,,,False,
1999-02-26,20083,Miami Heat,93,Detroit Pistons,95,,,False,
1999-02-26,15807,Phoenix Suns,90,Golden State Warriors,94,,,False,
1999-02-26,17505,Los Angeles Clippers,83,Los Angeles Lakers,99,,,False,
1999-02-26,17248,Indiana Pacers,100,Orlando Magic,103,,OT,False,
1999-02-26,17072,San Antonio Spurs,82,Seattle SuperSonics,92,,,False,
1999-02-26,15122,Minnesota Timberwolves,92,Toronto Raptors,102,,,False,
1999-02-26,19911,Dallas Mavericks,65,Utah Jazz,80,,,False,
1999-02-27,22814,Charlotte Hornets,77,Chicago Bulls,94,,,False,
1999-02-27,15009,Sacramento Kings,90,Dallas Mavericks,97,,,False,
1999-02-27,11563,Atlanta Hawks,103,Los Angeles Clippers,74,"at Anaheim, CA",,False,
1999-02-27,20049,Boston Celtics,101,New Jersey Nets,92,,,False,
1999-02-27,19193,Houston Rockets,86,Vancouver Grizzlies,74,,,False,
1999-02-27,18550,Portland Trail Blazers,82,Washington Wizards,81,,,False,
1999-02-28,9248,Vancouver Grizzlies,112,Denver Nuggets,116,,,False,
1999-02-28,20896,New York Knicks,68,Detroit Pistons,89,,,False,
1999-02-28,17505,Houston Rockets,90,Los Angeles Lakers,106,,,False,
1999-02-28,15200,Orlando Magic,78,Miami Heat,84,,,False,
1999-02-28,17586,Philadelphia 76ers,87,Milwaukee Bucks,76,,,False,
1999-02-28,16219,Portland Trail Blazers,100,Minnesota Timberwolves,93,,,False,
1999-02-28,18587,Golden State Warriors,89,Phoenix Suns,102,,,False,
1999-02-28,18165,Utah Jazz,101,San Antonio Spurs,87,,,False,
1999-02-28,14173,Chicago Bulls,90,Toronto Raptors,88,,OT,False,
1999-03-01,17747,New Jersey Nets,99,Boston Celtics,97,,,False,
1999-03-01,18039,Toronto Raptors,88,Charlotte Hornets,91,,,False,
1999-03-01,19763,Cleveland Cavaliers,78,New York Knicks,85,,,False,
1999-03-01,15359,Atlanta Hawks,67,Orlando Magic,70,,,False,
1999-03-01,19023,Los Angeles Lakers,97,Phoenix Suns,91,,,False,
1999-03-01,16786,Seattle SuperSonics,105,Sacramento Kings,102,,,False,
1999-03-01,13814,Philadelphia 76ers,104,Washington Wizards,91,,,False,
1999-03-02,8139,Washington Wizards,97,Atlanta Hawks,77,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-03-02,22432,Detroit Pistons,108,Chicago Bulls,78,,,False,
1999-03-02,12906,Boston Celtics,99,Cleveland Cavaliers,116,,,False,
1999-03-02,13492,Los Angeles Clippers,99,Dallas Mavericks,112,,,False,
1999-03-02,16285,San Antonio Spurs,99,Houston Rockets,82,,,False,
1999-03-02,14530,Denver Nuggets,81,Indiana Pacers,88,,,False,
1999-03-02,15200,New York Knicks,84,Miami Heat,85,,OT,False,
1999-03-02,14776,Golden State Warriors,78,Minnesota Timberwolves,89,,,False,
1999-03-02,15180,Milwaukee Bucks,94,New Jersey Nets,86,,,False,
1999-03-02,19980,Utah Jazz,100,Portland Trail Blazers,102,,2OT,False,
1999-03-02,13252,Sacramento Kings,111,Vancouver Grizzlies,101,,,False,
1999-03-03,17505,Phoenix Suns,95,Los Angeles Lakers,101,,,False,
1999-03-03,12136,Golden State Warriors,78,Milwaukee Bucks,106,,,False,
1999-03-03,15421,Charlotte Hornets,76,Orlando Magic,93,,,False,
1999-03-03,11510,Chicago Bulls,86,Philadelphia 76ers,102,,,False,
1999-03-03,15160,Portland Trail Blazers,97,Sacramento Kings,93,,OT,False,
1999-03-03,18556,Vancouver Grizzlies,86,Utah Jazz,109,,,False,
1999-03-03,12912,Indiana Pacers,106,Washington Wizards,95,,,False,
1999-03-04,7877,Toronto Raptors,86,Atlanta Hawks,77,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-03-04,13248,Detroit Pistons,99,Cleveland Cavaliers,84,,,False,
1999-03-04,14719,San Antonio Spurs,95,Dallas Mavericks,79,,,False,
1999-03-04,16285,Los Angeles Clippers,77,Houston Rockets,96,,,False,
1999-03-04,14834,Denver Nuggets,87,Miami Heat,95,,,False,
1999-03-04,14728,Charlotte Hornets,96,New Jersey Nets,82,,,False,
1999-03-04,17072,Phoenix Suns,101,Seattle SuperSonics,93,,,False,
1999-03-04,13329,Minnesota Timberwolves,102,Vancouver Grizzlies,93,,,False,
1999-03-05,18624,Denver Nuggets,94,Boston Celtics,102,,,False,
1999-03-05,16184,Golden State Warriors,102,Indiana Pacers,83,,,False,
1999-03-05,17505,Seattle SuperSonics,100,Los Angeles Lakers,103,,,False,
1999-03-05,16843,New York Knicks,87,Milwaukee Bucks,88,,,False,
1999-03-05,19949,Miami Heat,89,Philadelphia 76ers,78,,,False,
1999-03-05,19264,Minnesota Timberwolves,85,Portland Trail Blazers,97,,,False,
1999-03-05,15601,Orlando Magic,89,Toronto Raptors,84,,,False,
1999-03-05,19539,Dallas Mavericks,95,Utah Jazz,106,,,False,
1999-03-05,15703,Charlotte Hornets,85,Washington Wizards,86,,,False,
1999-03-06,12894,Golden State Warriors,80,Cleveland Cavaliers,97,,,False,
1999-03-06,17248,Detroit Pistons,82,Orlando Magic,87,,,False,
1999-03-06,19023,Sacramento Kings,111,Phoenix Suns,99,,,False,
1999-03-06,18394,Los Angeles Clippers,85,San Antonio Spurs,114,,,False,
1999-03-06,19193,Houston Rockets,107,Vancouver Grizzlies,92,,,False,
1999-03-07,12037,San Antonio Spurs,106,Denver Nuggets,96,,,False,
1999-03-07,16703,Miami Heat,72,Indiana Pacers,85,,,False,
1999-03-07,19763,New Jersey Nets,86,New York Knicks,97,,,False,
1999-03-07,16797,Washington Wizards,103,Philadelphia 76ers,95,,OT,False,
1999-03-07,20062,Houston Rockets,71,Portland Trail Blazers,111,,,False,
1999-03-07,14715,Dallas Mavericks,89,Sacramento Kings,94,,,False,
1999-03-07,17072,Minnesota Timberwolves,88,Seattle SuperSonics,77,,,False,
1999-03-07,16635,Boston Celtics,92,Toronto Raptors,105,,,False,
1999-03-07,19911,Los Angeles Lakers,97,Utah Jazz,89,,,False,
1999-03-08,15022,Washington Wizards,71,Detroit Pistons,75,,,False,
1999-03-08,15200,Philadelphia 76ers,89,Miami Heat,91,,,False,
1999-03-08,12085,Chicago Bulls,76,Milwaukee Bucks,81,,,False,
1999-03-08,15637,Atlanta Hawks,114,Orlando Magic,110,,,False,
1999-03-08,13552,Portland Trail Blazers,92,Vancouver Grizzlies,73,,,False,
1999-03-09,18342,Boston Celtics,87,Charlotte Hornets,105,,,False,
1999-03-09,22207,New Jersey Nets,87,Chicago Bulls,103,,,False,
1999-03-09,12714,Phoenix Suns,103,Dallas Mavericks,91,,,False,
1999-03-09,10043,Vancouver Grizzlies,82,Golden State Warriors,92,,,False,
1999-03-09,16285,Denver Nuggets,75,Houston Rockets,84,,,False,
1999-03-09,13380,Los Angeles Lakers,103,Los Angeles Clippers,99,,,False,
1999-03-09,17237,Seattle SuperSonics,84,Minnesota Timberwolves,85,,,False,
1999-03-09,19763,Milwaukee Bucks,87,New York Knicks,86,,,False,
1999-03-09,18147,Sacramento Kings,98,Portland Trail Blazers,103,,,False,
1999-03-09,18753,Cleveland Cavaliers,75,Utah Jazz,88,,,False,
1999-03-10,14925,New Jersey Nets,82,Indiana Pacers,93,,,False,
1999-03-10,17505,Los Angeles Clippers,75,Los Angeles Lakers,94,,,False,
1999-03-10,15200,Atlanta Hawks,78,Miami Heat,88,,,False,
1999-03-10,15692,Seattle SuperSonics,97,Milwaukee Bucks,101,,,False,
1999-03-10,14590,Charlotte Hornets,70,Philadelphia 76ers,85,,,False,
1999-03-10,18567,Cleveland Cavaliers,86,Phoenix Suns,73,,,False,
1999-03-10,17954,Orlando Magic,79,San Antonio Spurs,81,,,False,
1999-03-10,16316,Detroit Pistons,87,Washington Wizards,97,,,False,
1999-03-11,8518,Boston Celtics,85,Atlanta Hawks,99,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-03-11,22391,Seattle SuperSonics,92,Chicago Bulls,83,,,False,
1999-03-11,14553,Orlando Magic,76,Dallas Mavericks,93,,,False,
1999-03-11,11150,Minnesota Timberwolves,82,Golden State Warriors,89,,,False,
1999-03-11,16285,Vancouver Grizzlies,91,Houston Rockets,102,,,False,
1999-03-11,7884,Sacramento Kings,92,Los Angeles Clippers,106,,,False,
1999-03-11,14911,Toronto Raptors,73,Miami Heat,83,,,False,
1999-03-11,19763,Washington Wizards,86,New York Knicks,98,,,False,
1999-03-11,19911,Denver Nuggets,89,Utah Jazz,94,,,False,
1999-03-12,23079,New York Knicks,63,Chicago Bulls,76,,,False,
1999-03-12,19644,Boston Celtics,83,Detroit Pistons,93,,,False,
1999-03-12,16580,Milwaukee Bucks,104,Indiana Pacers,109,,,False,
1999-03-12,17505,Golden State Warriors,78,Los Angeles Lakers,89,,,False,
1999-03-12,19818,New Jersey Nets,93,Philadelphia 76ers,100,,OT,False,
1999-03-12,19023,San Antonio Spurs,99,Phoenix Suns,97,,,False,
1999-03-12,20668,Utah Jazz,91,Portland Trail Blazers,77,,,False,
1999-03-12,17317,Minnesota Timberwolves,101,Sacramento Kings,95,,,False,
1999-03-12,16343,Charlotte Hornets,92,Washington Wizards,83,,,False,
1999-03-13,8456,Toronto Raptors,75,Atlanta Hawks,86,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-03-13,14184,Vancouver Grizzlies,74,Dallas Mavericks,91,,,False,
1999-03-13,14177,Orlando Magic,87,Golden State Warriors,74,,,False,
1999-03-13,16285,Cleveland Cavaliers,89,Houston Rockets,100,,,False,
1999-03-13,9484,Portland Trail Blazers,106,Los Angeles Clippers,96,,OT,False,
1999-03-13,32982,Denver Nuggets,61,San Antonio Spurs,92,,,False,
